"Dataset","Samples","ASVs","Total_reads","Min","Median","Mean","Max","n<500","n<1000","n<2000","n<5000","n<10000"
"Bacteria",130,6489,2900271,3809,21017,22309.8,78232,0,0,0,2,13
"Fungi",131,588,3402376,2986,22457,25972.3,74331,0,0,0,5,22
