"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"63fb59dc138448d0cad3000f1397fb62","Dry",0.454774285703686,0.002,0.0116153846153846,"Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium"
"6a12343bd1981e867d6a1c342eeafa2b","Wet",0.449363659831692,0.001,0.00719047619047619,"Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Pseudomassariosphaeria"
"b092b59487dd739b23c875d3cdfbf5f1","Dry",0.438503030683534,0.001,0.00719047619047619,"Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium"
"50f1ff27bf28e7532003cb8782b7e861","Dry",0.431987725219098,0.002,0.0116153846153846,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
"3a1f4324efad3223aab5f745b33cb8de","Dry",0.431424446244677,0.002,0.0116153846153846,"Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium"
"b9eba8d78548d902f6bedb67ba27d20f","Dry",0.428003107101174,0.009,0.0348461538461538,"Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apiosordaria"
"bd3bca511aad96f649f80c1ddd4688a0","Dry",0.423686360191029,0.007,0.028958904109589,"Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Hypocreales_gen_Incertae_sedis"
"5dca8cb0150bb472aa8acf417116c9da","Wet",0.420969345526985,0.012,0.0431428571428571,"Ascomycota","Dothideomycetes","Mycosphaerellales","Neodevriesiaceae","Neodevriesia"
"74b057e1fc0e7fd1a45efa6f21774c38","Wet",0.41586867229419,0.011,0.0400240963855422,"Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Petrakia"
"a86f625956713e6642021f198178d505","Dry",0.40446230615995,0.002,0.0116153846153846,"Ascomycota","Sordariomycetes","Phomatosporales","Phomatosporaceae","Phomatospora"
"4b4db96b5fccaf944a14c2033e3dc969","Dry",0.392232270276368,0.002,0.0116153846153846,"Ascomycota","Pezizomycetes","Pezizales","Pezizales_fam_Incertae_sedis","Pezizales_gen_Incertae_sedis"
"bbe7e27cbb39e25a57c103a9b32a578f","Dry",0.390902125996854,0.002,0.0116153846153846,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
"318cabd4eec6d705fb1ef2962e1d435c","Wet",0.389741881476979,0.007,0.028958904109589,"","","","",""
"177eb91c8a0b93f4ccb1cf1b60c75c71","Wet",0.389741881476979,0.013,0.0446136363636364,"Ascomycota","Sordariomycetes","Sordariales","",""
"34752cd6e43ebc50e7dcf3a6ee83722e","Wet",0.389266017018591,0.013,0.0446136363636364,"Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella"
"0684981802791d3f2a83682811595e50","Dry",0.376760084977615,0.004,0.0194838709677419,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
"3d5dd4af0b00d9b82c1431e26dd15c75","Wet",0.373149442354017,0.01,0.037283950617284,"Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora"
"ddc4d1f86166bf6f108a16549f3abee6","Wet",0.373149442354017,0.013,0.0446136363636364,"Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotrys"
"31784079a9e3f8c80ba971c0374d2a57","Wet",0.373149442354017,0.014,0.0475056179775281,"Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Pseudomassariosphaeria"
"1fcfd25c0a7b43caad71cf843fe4b99c","Dry",0.366899692852671,0.002,0.0116153846153846,"Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum"
"5b4cb3fb34058068ae57e4d92045b505","Dry",0.366899692852671,0.002,0.0116153846153846,"Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Ijuhya"
"9da910fe87b7d2bafe616753a3ec50f0","Dry",0.365251053358191,0.008,0.0313766233766234,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
"e7956fe7fb61e71b4a34bfd1df92616c","Dry",0.364028103357414,0.01,0.037283950617284,"Ascomycota","Dothideomycetes","Pleosporales","Pseudomassarinaceae","Pseudomassarina"
"64f7a8e07a9d3b31dbb4bda5ecb5d0c5","Dry",0.361969550455938,0.003,0.0151,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
"3ba2f24bcdc074f5560ad5422fd6cfbb","Dry",0.339683110243379,0.007,0.028958904109589,"Ascomycota","","","",""
"d35d1562311d4cf450a642426b963521","Dry",0.339683110243379,0.008,0.0313766233766234,"","","","",""
"1d74a07d1fb7c5a0ded9f318acf73068","Dry",0.339481312899677,0.006,0.0266470588235294,"Ascomycota","Eurotiomycetes","","",""
"02529e51c3960e94cebebd7167de9091","Dry",0.335106226857467,0.003,0.0151,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
"5ed017c6082070a3e21ad25e9246c711","Dry",0.332821184300488,0.006,0.0266470588235294,"","","","",""
"d419a71d7ceb26e3f0229615f140b13e","Dry",0.310086836473021,0.004,0.0194838709677419,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Kamienskia"
"ef2eda0787ad3473b1bc1e1e19e5e3de","Dry",0.310086836473021,0.005,0.023968253968254,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Kamienskia"
"daf417f25433cd9a3ba03c059b6c50ed","Dry",0.310086836473021,0.01,0.037283950617284,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
"5d467d7dc7b52d62bc39d7098d5b5d23","Dry",0.308322008332303,0.011,0.0400240963855422,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Kamienskia"
"b7bb0e1c41917f68850a170add9afc6f","Dry",0.303613250590709,0.006,0.0266470588235294,"Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus"
