"Domain","PCoA1_end","ASV","rho","Phylum","Class","Order","Family","Genus","Kingdom","Species"
"Bacteria","High_PCoA1","87df14efae8b75990eaf7c2785573afd",0.908322244021742,"Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","",NA,NA
"Bacteria","High_PCoA1","fccd5b7afe391870624505cf6472e0b1",0.903446270695185,"Firmicutes","Negativicutes","uncultured","uncultured","uncultured",NA,NA
"Bacteria","High_PCoA1","7061e68888c2906619e7cb18c6bd3d1a",0.867310853404688,"Bacteroidota","Bacteroidia","Bacteroidales","","",NA,NA
"Bacteria","High_PCoA1","803719094227b34fcc7bf69527d85ab5",0.811590004395969,"Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","",NA,NA
"Bacteria","High_PCoA1","4e45842e08a16aba13308e57e1f01085",0.803179533311189,"Actinobacteriota","Coriobacteriia","OPB41","OPB41","OPB41",NA,NA
"Bacteria","High_PCoA1","ba6d2e69bc1659aa99a71c88bee74244",0.803060074935636,"Firmicutes","Clostridia","Lachnospirales","uncultured","uncultured",NA,NA
"Bacteria","High_PCoA1","770d3f50dccf0cbcde3f94868ee5956c",0.792014431115907,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Anaerospora",NA,NA
"Bacteria","High_PCoA1","523a168ba5dd565806c2258628c3ef86",0.791251655470898,"Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,NA
"Bacteria","High_PCoA1","344290542e48f66d0f4415ffa9a38c5d",0.781934211265072,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","",NA,NA
"Bacteria","High_PCoA1","67b46a64012f33268bc65528c58ec6e2",0.780329769235392,"Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Alterococcus",NA,NA
"Bacteria","High_PCoA1","9c5ffa633c46acf767447b7ce4fa276f",0.778727538379858,"Firmicutes","Clostridia","","","",NA,NA
"Bacteria","High_PCoA1","3687ca589616104152f29656ba67211f",0.758413396975218,"Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae","",NA,NA
"Bacteria","High_PCoA1","5a1d2c773560cfe73a136aefda41fcf3",0.753998852021225,"Firmicutes","Negativicutes","uncultured","uncultured","uncultured",NA,NA
"Bacteria","High_PCoA1","6b313942075b92a6bbbfd7dbd1ab9301",0.753185716251706,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","",NA,NA
"Bacteria","High_PCoA1","0f1941282c37404429c575da250ee913",0.750719222027528,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","uncultured",NA,NA
"Bacteria","High_PCoA1","d73208f1ee37c6fc977ee804cde0c6f5",0.747747252665933,"Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","",NA,NA
"Bacteria","High_PCoA1","f875dbaefe25e3c30bf8293d425b7923",0.747739859791474,"Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41",NA,NA
"Bacteria","High_PCoA1","a5c7a67826a19f8f3856301c29b3a8a4",0.745964103759449,"Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Turneriella",NA,NA
