"SampleID","PCoA1","PCoA2","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Dataset"
"40WHC1B",0.339529107194438,-0.184404051996829,"Pot-40","Wet","High","Conspecific",1,"Bacteria","Bacteria"
"40WHC2B",0.316988827600583,-0.0927994583904625,"Pot-40","Wet","High","Conspecific",2,"Bacteria","Bacteria"
"4WLC1B",0.120745666046637,0.21579867054252,"Pot-4","Wet","Low","Conspecific",1,"Bacteria","Bacteria"
"4WLC2B",0.0791961484717948,0.227770459183258,"Pot-4","Wet","Low","Conspecific",2,"Bacteria","Bacteria"
"51WHH1B",0.224727971699074,0.0242417398242664,"Pot-51","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"51WHH2B",0.275740972600956,-0.204969143353323,"Pot-51","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"52WHH1B",0.255406128604011,0.0309018535230412,"Pot-52","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"52WHH2B",0.176750924331971,0.0883005915787058,"Pot-52","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"53WHH1B",0.186925364771162,0.100355098061087,"Pot-53","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"53WHH2B",0.164659726565658,0.0794274226920015,"Pot-53","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"54WHH1B",0.232312549887153,-0.0729984882756142,"Pot-54","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"54WHH2B",0.195926476258314,-0.0437815039618202,"Pot-54","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"55WHH1B",0.248743187185853,-0.0156562410743924,"Pot-55","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"55WHH2B",0.171622310908259,0.0530008200956487,"Pot-55","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"56WHH1B",0.179111983328821,0.16788163140781,"Pot-56","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
"56WHH2B",0.115260002279518,0.2484535382899,"Pot-56","Wet","High","Heterospecific",2,"Bacteria","Bacteria"
"57WHH1B",0.266062575494668,0.0879858052477192,"Pot-57","Wet","High","Heterospecific",1,"Bacteria","Bacteria"
