"ASV","rho","Domain","Phylum","Class","Order","Family","Genus"
"7b5f7197c66c1b0bb5dc9678efc818ac",0.216423680260809,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae",""
"9b03b63b785ac9527a949aa63cd3b116",0.107122620498724,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula"
"14ee1fd4e69e05fa96c7dfeb426b0639",0.279626910837872,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"224912b599a23745e74234994dfe60f3",0.26444781966526,"Bacteria","Actinobacteriota","Actinobacteria","PeM15","PeM15","PeM15"
"8935cf18e8c46734069a4914c40a443d",0.147208414229687,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"3b9a744e66f28ef422f7723545b7dfcb",-0.049796332901079,"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured"
"079139d90c0254bab75101f18c94d98c",-0.0203437946381122,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Roseisolibacter"
"04c6fe419722df3d8da566a2064530a4",-0.380338069407852,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis"
"b0cd81155b18a1ee9759388e3e6e41bd",-0.0786196220626447,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium"
"7d311dd6f491b888a7843bdb252a1932",0.26100439474898,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7"
"3b8958810177ac658346107fe04d3438",0.247355594137245,"Bacteria","Firmicutes","Clostridia","Lachnospirales","uncultured","uncultured"
"0b9b11a2d647d583a5bb6afa41fb07ad",0.281994915682682,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"d038491b5985dbf2544b5c44c0c1b124",-0.103818970129013,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","KF-JG30-B3","KF-JG30-B3"
"061f67d5320ea27074c246d0ddebc718",-0.144095388466131,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera"
"aefa21d0d980ab146d906a968de58790",-0.108322896380421,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84"
"72c018284ae3c2003c01d5a804d2762f",-0.259735540574167,"Bacteria","Actinobacteriota","Thermoleophilia","","",""
"412dc0115aad628e1f119aec42fd6f9c",0.321675053960901,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","",""
"309558d5c5d899c17612a64f312f6328",-0.215058805253909,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14"
"bc22059826785321b5640a32968e9768",0.345267880912188,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",""
"bb2c5da4d6cfd2874b1fe57fba318163",0.195028785227085,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"dd9d1bf7ee9dcbfed18d0ee13167168e",0.0866930174448749,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"612d4ae109c63f7eb47f3f65d7a0453e",-0.00674788160621883,"Bacteria","Chloroflexi","Dehalococcoidia","S085","S085","S085"
"a2c3e595761247171bcebf097c02b79c",0.293497537529541,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"5e9747fa4d2333d5893b30fb31a7a624",-0.0317009854625489,"Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7"
"b57861e005f850f7c35e1b4e235469a2",0.0615931044554982,"Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter"
"fde9bbc70d937afe80135da239836452",0.0341611506314828,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",""
"065643f39abe86bc5666f2ed2429a201",0.0403102289253354,"Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","Vermiphilaceae"
"3d45743a9d3b099b4b6f79cf738c2840",-0.465905530734456,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"c249594cacbb06a0c8e4bf9185205f5e",-0.138635107568889,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","Myxococcus"
"e4bd9653410e9067028bce2c13e0b737",0.217697563600582,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"6fc0a2e218a7553c6b36052c168f27cf",-0.2051407135371,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea"
"900f75d329e2d443628807b973f3e280",-0.0901630514987058,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45"
