"PathwayID","PathwayName","Class_L2","Class_L1"
"12DICHLORETHDEG-PWY","1,2-dichloroethane degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"1CMET2-PWY","folate transformations III (E. coli)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"2AMINOBENZDEG-PWY","anthranilate degradation III (anaerobic)","Other","Other"
"2ASDEG-PWY","orthanilate degradation","Other","Other"
"2OXOBUTYRATECAT-PWY","2-oxobutanoate degradation II","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"2PHENDEG-PWY","phenylethylamine degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","4-hydroxyphenylacetate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"4-HYDROXYMANDELATE-DEGRADATION-PWY","4-hydroxymandelate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"4AMINOBUTMETAB-PWY","superpathway of 4-aminobutanoate degradation","Other","Other"
"4TOLCARBDEG-PWY","4-toluenecarboxylate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"6-HYDROXYCINEOLE-DEGRADATION-PWY","1,8-cineole degradation","Other","Other"
"ACETATEUTIL-PWY","superpathway of acetate utilization and formation","Other","Other"
"ACETOACETATE-DEG-PWY","acetoacetate degradation (to acetyl CoA)","Other","Other"
"ADENOSYLHOMOCYSCAT-PWY","L-methionine salvage from L-homocysteine","Amino acid metabolism","Biosynthesis / cellular components"
"AEROBACTINSYN-PWY","aerobactin biosynthesis","Other","Other"
"ALACAT2-PWY","L-alanine degradation II (to D-lactate)","Amino acid metabolism","Biosynthesis / cellular components"
"ALADEG-PWY","L-alanine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"ALANINE-DEG3-PWY","L-alanine degradation III","Amino acid metabolism","Biosynthesis / cellular components"
"ALANINE-SYN2-PWY","L-alanine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"ALANINE-VALINESYN-PWY","L-alanine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"ALKANEMONOX-PWY","two-component alkanesulfonate monooxygenase","Other","Other"
"ALL-CHORISMATE-PWY","superpathway of chorismate metabolism","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"AMMASSIM-PWY","ammonia assimilation cycle III","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"AMMOXID-PWY","ammonia oxidation I (aerobic)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"ANAEROFRUCAT-PWY","homolactic fermentation","Energy / central carbon metabolism","Energy metabolism"
"ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"ANAPHENOXI-PWY","L-phenylalanine degradation II (anaerobic)","Amino acid metabolism","Biosynthesis / cellular components"
"ARABCAT-PWY","L-arabinose degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"ARG+POLYAMINE-SYN","superpathway of arginine and polyamine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"ARG-GLU-PWY","L-arginine degradation VII (arginase 3 pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"ARG-PRO-PWY","L-arginine degradation VI (arginase 2 pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"ARGASEDEG-PWY","L-arginine degradation I (arginase pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"ARGDEG-III-PWY","L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"ARGDEG-IV-PWY","L-arginine degradation VIII (arginine oxidase pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"ARGDEG-PWY","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","Amino acid metabolism","Biosynthesis / cellular components"
"ARGDEG-V-PWY","L-arginine degradation X (arginine monooxygenase pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"ARGDEGRAD-PWY","L-arginine degradation V (arginine deiminase pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"ARGININE-SYN4-PWY","L-ornithine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"ARGSPECAT-PWY","spermine biosynthesis","Other","Other"
"ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)","Amino acid metabolism","Biosynthesis / cellular components"
"ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)","Amino acid metabolism","Biosynthesis / cellular components"
"ARO-PWY","chorismate biosynthesis I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"ASPARAGINE-BIOSYNTHESIS","L-asparagine biosynthesis I","Other","Other"
"ASPARAGINE-DEG1-PWY","L-asparagine degradation I","Other","Other"
"ASPARAGINE-DEG1-PWY-1","L-asparagine degradation III (mammalian)","Other","Other"
"ASPARAGINESYN-PWY","L-asparagine biosynthesis II","Other","Other"
"ASPARTATE-DEG1-PWY","L-aspartate degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"ASPARTATESYN-PWY","L-aspartate biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"ASPSYNII-PWY","cyanide detoxification I","Stress / detoxification","Stress response"
"AST-PWY","L-arginine degradation II (AST pathway)","Amino acid metabolism","Biosynthesis / cellular components"
"BENZCOA-PWY","anaerobic aromatic compound degradation (Thauera aromatica)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"BETA-ALA-DEGRADATION-I-PWY","&beta;-alanine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"BETSYN-PWY","glycine betaine biosynthesis I (Gram-negative bacteria)","Amino acid metabolism","Biosynthesis / cellular components"
"BGALACT-PWY","lactose degradation III","Other","Other"
"BIOTIN-BIOSYNTHESIS-PWY","biotin biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"BRANCHED-CHAIN-AA-SYN-PWY","superpathway of branched chain amino acid biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"BSUBPOLYAMSYN-PWY","spermidine biosynthesis I","Other","Other"
"CALVIN-PWY","Calvin-Benson-Bassham cycle","Energy / central carbon metabolism","Energy metabolism"
"CAMALEXIN-SYN","camalexin biosynthesis","Other","Other"
"CARNMET-PWY","L-carnitine degradation I","Other","Other"
"CAROTENOID-PWY","superpathway of carotenoid biosynthesis in plants","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"CATECHOL-ORTHO-CLEAVAGE-PWY","catechol degradation to &beta;-ketoadipate","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"CENTBENZCOA-PWY","benzoyl-CoA degradation II (anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"CENTFERM-PWY","pyruvate fermentation to butanoate","Energy / central carbon metabolism","Energy metabolism"
"CHLOROPHYLL-SYN","3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"CHOLINE-BETAINE-ANA-PWY","choline degradation I","Other","Other"
"CITRULBIO-PWY","L-citrulline biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"CITRULLINE-DEG-PWY","L-citrulline degradation","Amino acid metabolism","Biosynthesis / cellular components"
"CO2FORM-PWY","methanogenesis from methanol","Energy / central carbon metabolism","Energy metabolism"
"COA-PWY","coenzyme A biosynthesis I (prokaryotic)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"COA-PWY-1","superpathway of coenzyme A biosynthesis III (mammals)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"COBALSYN-PWY","superpathway of adenosylcobalamin salvage from cobinamide I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"CODH-PWY","reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"COLANSYN-PWY","colanic acid building blocks biosynthesis","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"CRNFORCAT-PWY","creatinine degradation I","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"CYANCAT-PWY","cyanate degradation","Other","Other"
"CYCLOHEXANOL-OXIDATION-PWY","cyclohexanol degradation","Other","Other"
"CYSTEINE-DEG-PWY","L-cysteine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"CYSTSYN-PWY","L-cysteine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"DAPLYSINESYN-PWY","L-lysine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"DARABCAT-PWY","D-arabinose degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"DARABCATK12-PWY","D-arabinose degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"DARABITOLUTIL-PWY","D-arabitol degradation","Other","Other"
"DENITRIFICATION-PWY","nitrate reduction I (denitrification)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"DENOVOPURINE2-PWY","superpathway of purine nucleotides de novo biosynthesis II","Nucleotide metabolism","Biosynthesis / cellular components"
"DESULFONATION-PWY","benzenesulfonate degradation","Other","Other"
"DETOX1-PWY","superoxide radicals degradation","Other","Other"
"DETOX1-PWY-1","reactive oxygen species degradation","Other","Other"
"DHGLUCONATE-PYR-CAT-PWY","glucose degradation (oxidative)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"DISSULFRED-PWY","dissimilatory sulfate reduction I (to hydrogen sufide))","Sulfur metabolism","Substrate utilization / nutrient cycling"
"DTDPRHAMSYN-PWY","dTDP-&beta;-L-rhamnose biosynthesis","Nucleotide metabolism","Biosynthesis / cellular components"
"ECASYN-PWY","enterobacterial common antigen biosynthesis","Other","Other"
"ENTBACSYN-PWY","enterobactin biosynthesis","Other","Other"
"ENTNER-DOUDOROFF-PWY","Entner-Doudoroff shunt","Energy / central carbon metabolism","Energy metabolism"
"ERGOSTEROL-SYN-PWY","superpathway of ergosterol biosynthesis I","Other","Other"
"ETHYL-PWY","ethene biosynthesis I (plants)","Other","Other"
"ETOH-ACETYLCOA-ANA-PWY","ethanol degradation I","Other","Other"
"FAO-PWY","fatty acid &beta;-oxidation I (generic)","Lipid metabolism","Biosynthesis / cellular components"
"FASYN-ELONG-PWY","fatty acid elongation -- saturated","Lipid metabolism","Biosynthesis / cellular components"
"FASYN-INITIAL-PWY","superpathway of fatty acid biosynthesis initiation (E. coli)","Lipid metabolism","Biosynthesis / cellular components"
"FERMENTATION-PWY","mixed acid fermentation","Energy / central carbon metabolism","Energy metabolism"
"FESULFOX-PWY","sulfur oxidation II (Fe+3-dependent)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"FLUORENE-DEG-9-ONE-PWY","fluorene degradation I","Other","Other"
"FOLSYN-PWY","superpathway of tetrahydrofolate biosynthesis and salvage","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"FORMASS-PWY","formaldehyde oxidation IV (thiol-independent)","Energy / central carbon metabolism","Energy metabolism"
"FUC-RHAMCAT-PWY","superpathway of fucose and rhamnose degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"FUCCAT-PWY","fucose degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GALACT-GLUCUROCAT-PWY","superpathway of hexuronide and hexuronate degradation","Other","Other"
"GALACTARDEG-PWY","D-galactarate degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GALACTCAT-PWY","D-galactonate degradation","Other","Other"
"GALACTITOLCAT-PWY","galactitol degradation","Other","Other"
"GALACTUROCAT-PWY","D-galacturonate degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GALDEG-PWY","D-galactose degradation II","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GALLATE-DEGRADATION-I-PWY","gallate degradation II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"GALLATE-DEGRADATION-II-PWY","gallate degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"GAMMAHEXCHLORDEG-PWY","&gamma;-hexachlorocyclohexane degradation","Other","Other"
"GDPRHAMSYN-PWY","GDP-D-rhamnose biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GLCMANNANAUT-PWY","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"GLNSYN-PWY","L-glutamine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"GLUAMCAT-PWY","N-acetylglucosamine degradation I","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"GLUCARDEG-PWY","D-glucarate degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GLUCARGALACTSUPER-PWY","superpathway of D-glucarate and D-galactarate degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GLUCONEO-PWY","gluconeogenesis I","Energy / central carbon metabolism","Energy metabolism"
"GLUCONSUPER-PWY","D-gluconate degradation","Other","Other"
"GLUCOSE1PMETAB-PWY","glucose and glucose-1-phosphate degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GLUCUROCAT-PWY","superpathway of &beta;-D-glucuronosides degradation","Other","Other"
"GLUDEG-I-PWY","GABA shunt","Energy / central carbon metabolism","Energy metabolism"
"GLUDEG-II-PWY","L-glutamate degradation VII (to butanoate)","Amino acid metabolism","Biosynthesis / cellular components"
"GLUGLNSYN-PWY","L-glutamate biosynthesis IV","Amino acid metabolism","Biosynthesis / cellular components"
"GLUT-REDOX-PWY","glutathione-glutaredoxin redox reactions","Other","Other"
"GLUTAMATE-DEG1-PWY","L-glutamate degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"GLUTAMATE-SYN2-PWY","L-glutamate biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"GLUTAMINDEG-PWY","L-glutamine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"GLUTAMINEFUM-PWY","L-glutamine degradation II","Amino acid metabolism","Biosynthesis / cellular components"
"GLUTATHIONESYN-PWY","glutathione biosynthesis","Other","Other"
"GLUTDEG-PWY","L-glutamate degradation II","Amino acid metabolism","Biosynthesis / cellular components"
"GLUTORN-PWY","L-ornithine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"GLUTSYN-PWY","L-glutamate biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"GLUTSYNIII-PWY","L-glutamate biosynthesis III","Amino acid metabolism","Biosynthesis / cellular components"
"GLYCEROLMETAB-PWY","glycerol degradation V","Other","Other"
"GLYCGREAT-PWY","creatine biosynthesis","Other","Other"
"GLYCINE-SYN2-PWY","glycine biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"GLYCLEAV-PWY","glycine cleavage","Amino acid metabolism","Biosynthesis / cellular components"
"GLYCOCAT-PWY","glycogen degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GLYCOGENSYNTH-PWY","glycogen biosynthesis I (from ADP-D-Glucose)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GLYCOL-GLYOXDEG-PWY","superpathway of glycol metabolism and degradation","Other","Other"
"GLYCOLATEMET-PWY","glycolate and glyoxylate degradation I","Energy / central carbon metabolism","Energy metabolism"
"GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"GLYCOLYSIS-E-D","superpathway of glycolysis and the Entner-Doudoroff pathway","Energy / central carbon metabolism","Energy metabolism"
"GLYCOLYSIS-TCA-GLYOX-BYPASS","superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","Energy / central carbon metabolism","Energy metabolism"
"GLYOXDEG-PWY","glycolate and glyoxylate degradation II","Energy / central carbon metabolism","Energy metabolism"
"GLYOXYLATE-BYPASS","glyoxylate cycle","Energy / central carbon metabolism","Energy metabolism"
"GLYSYN-ALA-PWY","glycine biosynthesis III","Amino acid metabolism","Biosynthesis / cellular components"
"GLYSYN-PWY","glycine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"GLYSYN-THR-PWY","glycine biosynthesis IV","Amino acid metabolism","Biosynthesis / cellular components"
"GOLPDLCAT-PWY","superpathway of glycerol degradation to 1,3-propanediol","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"HCAMHPDEG-PWY","3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"HEME-BIOSYNTHESIS-II","heme b biosynthesis I (aerobic)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"HEME-BIOSYNTHESIS-II-1","heme b biosynthesis V (aerobic)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"HEMESYN2-PWY","heme b biosynthesis II (oxygen-independent)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"HEXITOLDEGSUPER-PWY","superpathway of hexitol degradation (bacteria)","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"HEXPPSYN-PWY","hexaprenyl diphosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"HISDEG-PWY","L-histidine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"HISHP-PWY","L-histidine degradation VI","Amino acid metabolism","Biosynthesis / cellular components"
"HISTDEG-PWY","L-histidine degradation IV","Amino acid metabolism","Biosynthesis / cellular components"
"HISTSYN-PWY","L-histidine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"HOMOCYSDEGR-PWY","L-cysteine biosynthesis III (from L-homocysteine)","Amino acid metabolism","Biosynthesis / cellular components"
"HOMOSER-METSYN-PWY","L-methionine biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"HOMOSER-THRESYN-PWY","L-threonine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"HOMOSERSYN-PWY","L-homoserine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"HSERMETANA-PWY","L-methionine biosynthesis III","Amino acid metabolism","Biosynthesis / cellular components"
"HYDROXYPRODEG-PWY","trans-4-hydroxy-L-proline degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"IDNCAT-PWY","L-idonate degradation","Other","Other"
"ILEUDEG-PWY","L-isoleucine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"ILEUSYN-PWY","L-isoleucine biosynthesis I (from threonine)","Amino acid metabolism","Biosynthesis / cellular components"
"KDO-LIPASYN-PWY","(Kdo)2-lipid A biosynthesis I (E. coli)","Lipid metabolism","Biosynthesis / cellular components"
"KDO-NAGLIPASYN-PWY","superpathway of (Kdo)2-lipid A biosynthesis","Lipid metabolism","Biosynthesis / cellular components"
"KDOSYN-PWY","Kdo transfer to lipid IVA I (E. coli)","Lipid metabolism","Biosynthesis / cellular components"
"KETOGLUCONMET-PWY","ketogluconate metabolism","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"LACTOSECAT-PWY","lactose and galactose degradation I","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"LACTOSEUTIL-PWY","lactose degradation II","Other","Other"
"LARABITOLUTIL-PWY","xylitol degradation","Other","Other"
"LCYSDEG-PWY","L-cysteine degradation II","Amino acid metabolism","Biosynthesis / cellular components"
"LEU-DEG2-PWY","L-leucine degradation I","Amino acid metabolism","Biosynthesis / cellular components"
"LEUSYN-PWY","L-leucine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"LIPA-CORESYN-PWY","lipid A-core biosynthesis (E. coli K-12)","Lipid metabolism","Biosynthesis / cellular components"
"LIPAS-PWY","triacylglycerol degradation","Lipid metabolism","Biosynthesis / cellular components"
"LIPASYN-PWY","phospholipases","Lipid metabolism","Biosynthesis / cellular components"
"LPSSYN-PWY","superpathway of lipopolysaccharide biosynthesis","Polymer degradation","Substrate utilization / nutrient cycling"
"LYSDEGII-PWY","L-lysine degradation III","Amino acid metabolism","Biosynthesis / cellular components"
"LYSINE-AMINOAD-PWY","L-lysine biosynthesis IV","Amino acid metabolism","Biosynthesis / cellular components"
"LYSINE-DEG1-PWY","L-lysine degradation XI (mammalian)","Amino acid metabolism","Biosynthesis / cellular components"
"LYXMET-PWY","L-lyxose degradation","Other","Other"
"M-CRESOL-DEGRADATION-PWY","m-cresol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"MALATE-ASPARTATE-SHUTTLE-PWY","malate/L-aspartate shuttle pathway","Amino acid metabolism","Biosynthesis / cellular components"
"MALTOSECAT-PWY","maltose degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"MANNCAT-PWY","D-mannose degradation","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"MANNIDEG-PWY","mannitol degradation I","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS","protein N-glycosylation initial phase (eukaryotic)","Other","Other"
"MENAQUINONESYN-PWY","menaquinol-8 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"MET-SAM-PWY","superpathway of S-adenosyl-L-methionine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"METH-ACETATE-PWY","methanogenesis from acetate","Energy / central carbon metabolism","Energy metabolism"
"METHANOGENESIS-PWY","methanogenesis from H2 and CO2","Energy / central carbon metabolism","Energy metabolism"
"METHFORM-PWY","methyl-coenzyme M reduction to methane","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"METHGLYUT-PWY","superpathway of methylglyoxal degradation","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"METHIONINE-DEG1-PWY","L-methionine degradation I (to L-homocysteine)","Amino acid metabolism","Biosynthesis / cellular components"
"METHYLGALLATE-DEGRADATION-PWY","methylgallate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"METSYN-PWY","superpathway of L-homoserine and L-methionine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"MGLDLCTANA-PWY","methylglyoxal degradation VI","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"N2FIX-PWY","nitrogen fixation I (ferredoxin)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"NAD-BIOSYNTHESIS-II","NAD salvage pathway III (to nicotinamide riboside)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"NAD-BIOSYNTHESIS-III","NAD biosynthesis III (from nicotinamide)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"NADPHOS-DEPHOS-PWY","NAD phosphorylation and dephosphorylation","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"NADPHOS-DEPHOS-PWY-1","NAD phosphorylation and transhydrogenation","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"NADSYN-PWY","NAD de novo biosynthesis II (from tryptophan)","Amino acid metabolism","Biosynthesis / cellular components"
"NAGLIPASYN-PWY","lipid IVA biosynthesis (E. coli)","Lipid metabolism","Biosynthesis / cellular components"
"NONMEVIPP-PWY","methylerythritol phosphate pathway I","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"NONOXIPENT-PWY","pentose phosphate pathway (non-oxidative branch) I","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"NOPALINEDEG-PWY","nopaline degradation","Other","Other"
"NPGLUCAT-PWY","Entner-Doudoroff pathway II (non-phosphorylative)","Energy / central carbon metabolism","Energy metabolism"
"OANTIGEN-PWY","O-antigen building blocks biosynthesis (E. coli)","Cell envelope / glycan metabolism","Biosynthesis / cellular components"
"OCTOPINEDEG-PWY","octopine degradation","Other","Other"
"ORN-AMINOPENTANOATE-CAT-PWY","L-ornithine degradation I (L-proline biosynthesis)","Amino acid metabolism","Biosynthesis / cellular components"
"ORNARGDEG-PWY","superpathway of L-arginine and L-ornithine degradation","Amino acid metabolism","Biosynthesis / cellular components"
"ORNDEG-PWY","superpathway of ornithine degradation","Amino acid metabolism","Biosynthesis / cellular components"
"OXIDATIVEPENT-PWY","pentose phosphate pathway (oxidative branch) I","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"P101-PWY","ectoine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"P105-PWY","TCA cycle IV (2-oxoglutarate decarboxylase)","Energy / central carbon metabolism","Energy metabolism"
"P108-PWY","pyruvate fermentation to propanoate I","Energy / central carbon metabolism","Energy metabolism"
"P121-PWY","adenine and adenosine salvage I","Nucleotide metabolism","Biosynthesis / cellular components"
"P122-PWY","heterolactic fermentation","Energy / central carbon metabolism","Energy metabolism"
"P124-PWY","Bifidobacterium shunt","Other","Other"
"P125-PWY","superpathway of (R,R)-butanediol biosynthesis","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"P141-PWY","atrazine degradation I (aerobic)","Other","Other"
"P142-PWY","pyruvate fermentation to acetate I","Energy / central carbon metabolism","Energy metabolism"
"P161-PWY","acetylene degradation (anaerobic)","Other","Other"
"P162-PWY","L-glutamate degradation V (via hydroxyglutarate)","Amino acid metabolism","Biosynthesis / cellular components"
"P163-PWY","L-lysine fermentation to acetate and butanoate","Amino acid metabolism","Biosynthesis / cellular components"
"P164-PWY","purine nucleobases degradation I (anaerobic)","Nucleotide metabolism","Biosynthesis / cellular components"
"P165-PWY","superpathway of purines degradation in plants","Nucleotide metabolism","Biosynthesis / cellular components"
"P181-PWY","nicotine degradation I (pyridine pathway)","Other","Other"
"P183-PWY","catechol degradation to 2-hydroxypentadienoate I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"P184-PWY","protocatechuate degradation I (meta-cleavage pathway)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"P185-PWY","formaldehyde assimilation III (dihydroxyacetone cycle)","Energy / central carbon metabolism","Energy metabolism"
"P2-PWY","citrate lyase activation","Other","Other"
"P201-PWY","nitroglycerin degradation","Other","Other"
"P203-PWY","sulfur disproportionation I (anaerobic)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"P21-PWY","pentose phosphate pathway (partial)","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"P221-PWY","octane oxidation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"P222-PWY","sulfide oxidation I (to sulfur globules)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"P23-PWY","reductive TCA cycle I","Energy / central carbon metabolism","Energy metabolism"
"P241-PWY","coenzyme B biosynthesis","Other","Other"
"P261-PWY","coenzyme M biosynthesis I","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"P281-PWY","3-phenylpropanoate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"P282-PWY","nitrite oxidation","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"P283-PWY","hydrogen oxidation I (aerobic)","Other","Other"
"P3-PWY","gallate degradation III (anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"P301-PWY","galena oxidation","Other","Other"
"P302-PWY","L-sorbose degradation","Other","Other"
"P303-PWY","ammonia oxidation II (anaerobic)","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"P321-PWY","benzoyl-CoA degradation III (anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"P341-PWY","glycolysis V (Pyrococcus)","Energy / central carbon metabolism","Energy metabolism"
"P342-PWY","orcinol degradation","Other","Other"
"P343-PWY","resorcinol degradation","Other","Other"
"P344-PWY","superpathway of acrylonitrile degradation","Other","Other"
