"PathwayID","PathwayName","Class_L2","Class_L1"
"PWY-6007","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II","Other","Other"
"PWY-6008","baruol biosynthesis","Other","Other"
"PWY-601","glucosinolate biosynthesis from tryptophan","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6010","apigenin glycosides biosynthesis","Other","Other"
"PWY-6011","amygdalin and prunasin degradation","Other","Other"
"PWY-6012","acyl carrier protein metabolism","Other","Other"
"PWY-6012-1","acyl carrier protein activation","Other","Other"
"PWY-6013","crepenynate biosynthesis","Other","Other"
"PWY-6014","vernolate biosynthesis I","Other","Other"
"PWY-6015","vitexin and derivatives biosynthesis","Other","Other"
"PWY-6019","pseudouridine degradation","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6021","nitrilotriacetate degradation","Other","Other"
"PWY-6024","isovitexin glycosides biosynthesis","Other","Other"
"PWY-6027","capsiconiate biosynthesis","Other","Other"
"PWY-6028","acetoin degradation","Other","Other"
"PWY-6029","2,3-trans-flavanols biosynthesis","Other","Other"
"PWY-6030","serotonin and melatonin biosynthesis","Organic acid / small-molecule metabolism","Substrate utilization / nutrient cycling"
"PWY-6032","digitoxigenin biosynthesis","Other","Other"
"PWY-6035","2,3-cis-flavanols biosynthesis","Other","Other"
"PWY-6036","cardenolide glucosides biosynthesis","Other","Other"
"PWY-6038","citrate degradation","Other","Other"
"PWY-6039","chlorogenic acid biosynthesis I","Other","Other"
"PWY-6040","chlorogenic acid biosynthesis II","Other","Other"
"PWY-6041","4-sulfocatechol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6043","ethanedisulfonate degradation","Other","Other"
"PWY-6044","methanesulfonate degradation","Other","Other"
"PWY-6045","methylthiopropanonate degradation II (demethylation)","Other","Other"
"PWY-6046","dimethylsulfoniopropanoate degradation I (cleavage)","Other","Other"
"PWY-6047","dimethyl sulfide degradation I","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6048","methylthiopropanoate degradation I (cleavage)","Other","Other"
"PWY-6049","superpathway of dimethylsulfoniopropanoate degradation","Other","Other"
"PWY-6050","dimethyl sulfoxide degradation","Other","Other"
"PWY-6051","2,4,6-trinitrotoluene degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6052","dimethylsulfoniopropanoate degradation III (demethylation)","Other","Other"
"PWY-6053","dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton)","Other","Other"
"PWY-6054","dimethylsulfoniopropanoate biosynthesis I (Wollastonia)","Other","Other"
"PWY-6055","dimethylsulfoniopropanoate biosynthesis II (Spartina)","Other","Other"
"PWY-6056","dimethylsulfoniopropanoate degradation II (cleavage)","Other","Other"
"PWY-6057","dimethylsulfide to cytochrome c2 electron transfer","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6058","dimethyl sulfone degradation","Other","Other"
"PWY-6059","dimethyl sulfide degradation II (oxidation)","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6060","malonate degradation II (biotin-dependent)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6061","bile acid biosynthesis, neutral pathway","Other","Other"
"PWY-6064","methylquercetin biosynthesis","Other","Other"
"PWY-6068","indican biosynthesis","Other","Other"
"PWY-6069","indigo biosynthesis","Other","Other"
"PWY-6071","superpathway of phenylethylamine degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6072","superpathway of dimethylsulfone degradation","Other","Other"
"PWY-6073","alginate biosynthesis I (algal)","Other","Other"
"PWY-6074","zymosterol biosynthesis","Other","Other"
"PWY-6075","ergosterol biosynthesis I","Other","Other"
"PWY-6076","vitamin D3 biosynthesis","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6077","anthranilate degradation II (aerobic)","Other","Other"
"PWY-6079","anthranilate degradation I (aerobic)","Other","Other"
"PWY-6080","4-ethylphenol degradation (anaerobic)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6081","1,3-dichlorobenzene degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"PWY-6082","alginate biosynthesis II (bacterial)","Other","Other"
"PWY-6083","chlorobenzene degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"PWY-6084","3,5-dichlorocatechol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6085","2,4-dichlorophenoxyacetate degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"PWY-6086","4-chloro-2-methylphenoxyacetate degradation","Other","Other"
"PWY-6087","4-chlorocatechol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6088","3-chlorobenzoate degradation I (via chlorocatechol)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6089","3-chlorocatechol degradation I (ortho)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6090","1,2-dichlorobenzene degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"PWY-6091","1,2,4-trichlorobenzene degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"PWY-6093","4,5-dichlorocatechol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6094","3,4,6-trichlorocatechol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6095","dammara-20,24-diene biosynthesis","Other","Other"
"PWY-6098","diploterol biosynthesis","Other","Other"
"PWY-6099","1,2,4,5-tetrachlorobenzene degradation","Xenobiotic / pollutant degradation","Substrate utilization / nutrient cycling"
"PWY-6100","L-carnitine biosynthesis","Other","Other"
"PWY-6102","5-chloro-3-methyl-catechol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6103","3-chlorotoluene degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6104","3-chlorotoluene degradation II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6105","botryococcenes and methylated squalene biosynthesis","Other","Other"
"PWY-6107","chlorosalicylate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6109","mangrove triterpenoid biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-6111","mitochondrial L-carnitine shuttle","Other","Other"
"PWY-6113","superpathway of mycolate biosynthesis","Other","Other"
"PWY-6116","mannosylfructose biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6117","spermine and spermidine degradation I","Other","Other"
"PWY-6118","glycerol-3-phosphate shuttle","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6120","L-tyrosine biosynthesis III","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6123","inosine-5'-phosphate biosynthesis I","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6124","inosine-5'-phosphate biosynthesis II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6125","superpathway of guanosine nucleotides de novo biosynthesis II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6126","superpathway of adenosine nucleotides de novo biosynthesis II","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6128","cis-calamenene related sesquiterpenoids biosynthesis","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-6129","dolichol and dolichyl phosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6130","glycerol degradation III","Other","Other"
"PWY-6131","glycerol degradation II","Other","Other"
"PWY-6132","lanosterol biosynthesis","Other","Other"
"PWY-6133","(S)-reticuline biosynthesis II","Other","Other"
"PWY-6134","L-tyrosine biosynthesis IV","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6138","CMP-N-acetylneuraminate biosynthesis I (eukaryotes)","Other","Other"
"PWY-6139","CMP-N-acetylneuraminate biosynthesis II (bacteria)","Other","Other"
"PWY-6140","CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis","Other","Other"
"PWY-6141","archaetidylserine and archaetidylethanolamine biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6142","gluconeogenesis II (Methanobacterium thermoautotrophicum)","Energy / central carbon metabolism","Energy metabolism"
"PWY-6143","CMP-pseudaminate biosynthesis","Other","Other"
"PWY-6144","CMP-N-glycoloylneuraminate biosynthesis","Other","Other"
"PWY-6145","superpathway of CMP-sialic acids biosynthesis","Other","Other"
"PWY-6146","Methanobacterium thermoautotrophicum biosynthetic metabolism","Other","Other"
"PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6148","tetrahydromethanopterin biosynthesis","Other","Other"
"PWY-6151","S-adenosyl-L-methionine salvage I","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6153","autoinducer AI-2 biosynthesis I","Other","Other"
"PWY-6154","autoinducer AI-2 biosynthesis II (Vibrio)","Other","Other"
"PWY-6157","autoinducer AI-1 biosynthesis","Other","Other"
"PWY-6158","creatine-phosphate biosynthesis","Phosphorus metabolism","Substrate utilization / nutrient cycling"
"PWY-6160","3-dehydroquinate biosynthesis II (archaea)","Other","Other"
"PWY-6163","chorismate biosynthesis from 3-dehydroquinate","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6164","3-dehydroquinate biosynthesis I","Other","Other"
"PWY-6165","chorismate biosynthesis II (archaea)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6167","flavin biosynthesis II (archaea)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6168","flavin biosynthesis III (fungi)","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6173","histamine biosynthesis","Other","Other"
"PWY-6174","mevalonate pathway II (haloarchaea)","Other","Other"
"PWY-6176","superpathway of Allium flavor precursors","Other","Other"
"PWY-6178","2,4,6-trichlorophenol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6181","histamine degradation","Other","Other"
"PWY-6182","superpathway of salicylate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6183","salicylate degradation I","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6184","methylsalicylate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6185","4-methylcatechol degradation (ortho cleavage)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6190","2,4-dichlorotoluene degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6191","2,5-dichlorotoluene degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6192","3,4-dichlorotoluene degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6193","3-chlorocatechol degradation II (ortho)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6196","D-serine degradation","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6197","chlorinated phenols degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6199","quercetin sulfate biosynthesis","Sulfur metabolism","Substrate utilization / nutrient cycling"
"PWY-6200","2,4,5-trichlorophenoxyacetate degradation","Other","Other"
"PWY-621","sucrose degradation III (sucrose invertase)","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6210","2-aminophenol degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6214","3-chlorocatechol degradation III (meta pathway)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6215","4-chlorobenzoate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6216","3-chlorobenzoate degradation II (via protocatechuate)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6217","3,4-dichlorobenzoate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6219","indole-3-acetate inactivation VIII","Other","Other"
"PWY-622","starch biosynthesis","Carbohydrate metabolism","Substrate utilization / nutrient cycling"
"PWY-6220","jasmonoyl-amino acid conjugates biosynthesis I","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6221","2-chlorobenzoate degradation","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6223","gentisate degradation I","Other","Other"
"PWY-6224","salicylate degradation II","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6228","3-chlorobenzoate degradation III (via gentisate)","Aromatic compound metabolism","Substrate utilization / nutrient cycling"
"PWY-6232","chrysoeriol biosynthesis","Other","Other"
"PWY-6233","jasmonoyl-amino acid conjugates biosynthesis II","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6234","superpathway of jasmonoyl-amino acid conjugates biosynthesis","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6239","luteolin glycosides biosynthesis","Other","Other"
"PWY-6241","thyroid hormone biosynthesis","Other","Other"
"PWY-6243","bergamotene biosynthesis I","Other","Other"
"PWY-6244","bergamotene biosynthesis II","Other","Other"
"PWY-6254","santalene biosynthesis I","Other","Other"
"PWY-6257","curcumene biosynthesis","Other","Other"
"PWY-6258","patchoulol biosynthesis","Other","Other"
"PWY-6260","thyroid hormone metabolism I (via deiodination)","Other","Other"
"PWY-6261","thyroid hormone metabolism II (via conjugation and/or degradation)","Other","Other"
"PWY-6262","demethylmenaquinol-8 biosynthesis II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6263","superpathway of menaquinol-8 biosynthesis II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6265","zerumbone biosynthesis","Other","Other"
"PWY-6266","superpathway of flavones and derivatives biosynthesis","Other","Other"
"PWY-6268","adenosylcobalamin salvage from cobalamin","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6269","superpathway of adenosylcobalamin salvage from cobinamide II","Cofactor / vitamin metabolism","Biosynthesis / cellular components"
"PWY-6270","isoprene biosynthesis I","Secondary metabolite / isoprenoid metabolism","Biosynthesis / cellular components"
"PWY-6271","eudesmol biosynthesis","Other","Other"
"PWY-6273","phosphatidylethanolamine biosynthesis III","Nitrogen metabolism","Substrate utilization / nutrient cycling"
"PWY-6275","&beta;-caryophyllene biosynthesis","Other","Other"
"PWY-6277","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","Nucleotide metabolism","Biosynthesis / cellular components"
"PWY-6278","botrydial biosynthesis","Other","Other"
"PWY-6279","myxol-2' fucoside biosynthesis","Other","Other"
"PWY-6280","synechoxanthin biosynthesis","Other","Other"
"PWY-6281","L-selenocysteine biosynthesis II (archaea and eukaryotes)","Amino acid metabolism","Biosynthesis / cellular components"
"PWY-6282","palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6284","superpathway of unsaturated fatty acids biosynthesis (E. coli)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6285","superpathway of fatty acids biosynthesis (E. coli)","Lipid metabolism","Biosynthesis / cellular components"
"PWY-6286","spheroidene and spheroidenone biosynthesis","Other","Other"
"PWY-6287","neurosporene biosynthesis","Other","Other"
"PWY-6288","zeaxanthin-&beta;-D-diglucoside biosynthesis","Other","Other"
"PWY-6289","petrobactin biosynthesis","Other","Other"
"PWY-6290","&beta;-cubebene biosynthesis","Other","Other"
