"SampleID","Observed","Shannon","Simpson","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"52WHH1F",48,2.3266019084805,0.827608444444444,"Pot-52","Wet","High","Heterospecific",1,"Fungi"
"52WHH2F",56,2.74813960527123,0.908959111111111,"Pot-52","Wet","High","Heterospecific",2,"Fungi"
"53WHH1F",74,2.84489899608326,0.910448888888889,"Pot-53","Wet","High","Heterospecific",1,"Fungi"
"53WHH2F",61,2.48486724112518,0.838121555555556,"Pot-53","Wet","High","Heterospecific",2,"Fungi"
"54WHH1F",68,2.92659824727159,0.909546444444444,"Pot-54","Wet","High","Heterospecific",1,"Fungi"
"54WHH2F",64,3.04211517044217,0.908315777777778,"Pot-54","Wet","High","Heterospecific",2,"Fungi"
"55WHH1F",49,2.23492521902899,0.807036,"Pot-55","Wet","High","Heterospecific",1,"Fungi"
"55WHH2F",26,1.979213166083,0.788302888888889,"Pot-55","Wet","High","Heterospecific",2,"Fungi"
"56WHH2F",21,1.74994978851578,0.707071111111111,"Pot-56","Wet","High","Heterospecific",2,"Fungi"
"57WHH1F",52,2.55331627450259,0.870516666666667,"Pot-57","Wet","High","Heterospecific",1,"Fungi"
"57WHH2F",25,2.06116926677113,0.820655777777778,"Pot-57","Wet","High","Heterospecific",2,"Fungi"
"58WHH1F",41,2.35838393514445,0.837893333333333,"Pot-58","Wet","High","Heterospecific",1,"Fungi"
"58WHH2F",20,1.16643321726272,0.560264222222222,"Pot-58","Wet","High","Heterospecific",2,"Fungi"
"59WHH1F",38,2.37263529406259,0.854630222222222,"Pot-59","Wet","High","Heterospecific",1,"Fungi"
"59WHH2F",23,1.84823461396818,0.731950444444444,"Pot-59","Wet","High","Heterospecific",2,"Fungi"
"5WLC1F",32,1.9628491427628,0.765588666666667,"Pot-5","Wet","Low","Conspecific",1,"Fungi"
"5WLC2F",9,1.52198168618694,0.735533111111111,"Pot-5","Wet","Low","Conspecific",2,"Fungi"
"60WHH1F",51,1.72607073084441,0.684254,"Pot-60","Wet","High","Heterospecific",1,"Fungi"
"60WHH2F",60,1.7338238203297,0.567626222222222,"Pot-60","Wet","High","Heterospecific",2,"Fungi"
"61DLC1F",67,3.17948347499521,0.941774666666667,"Pot-61","Dry","Low","Conspecific",1,"Fungi"
"61DLC2F",41,1.88104120211561,0.788196666666667,"Pot-61","Dry","Low","Conspecific",2,"Fungi"
"62DLC1F",40,1.84227945608968,0.738384444444444,"Pot-62","Dry","Low","Conspecific",1,"Fungi"
"62DLC2F",40,1.86951044875081,0.741014888888889,"Pot-62","Dry","Low","Conspecific",2,"Fungi"
"63DLC1F",56,1.94512125674004,0.718188666666667,"Pot-63","Dry","Low","Conspecific",1,"Fungi"
"63DLC2F",34,1.24873019121268,0.53233,"Pot-63","Dry","Low","Conspecific",2,"Fungi"
"64DLC1F",45,2.26752864248105,0.791931777777778,"Pot-64","Dry","Low","Conspecific",1,"Fungi"
"64DLC2F",45,2.22788978953036,0.828717555555555,"Pot-64","Dry","Low","Conspecific",2,"Fungi"
"65DLC1F",71,2.54639462332867,0.859455777777778,"Pot-65","Dry","Low","Conspecific",1,"Fungi"
"65DLC2F",38,2.07176818911563,0.770282222222222,"Pot-65","Dry","Low","Conspecific",2,"Fungi"
"66DLC1F",53,2.30929043442978,0.836551555555556,"Pot-66","Dry","Low","Conspecific",1,"Fungi"
"66DLC2F",45,2.02367482609959,0.732126444444445,"Pot-66","Dry","Low","Conspecific",2,"Fungi"
"67DLC1F",50,2.17526413922091,0.829052,"Pot-67","Dry","Low","Conspecific",1,"Fungi"
"67DLC2F",57,2.61644183654319,0.883117555555555,"Pot-67","Dry","Low","Conspecific",2,"Fungi"
"68DLC1F",55,2.60075769616942,0.892364,"Pot-68","Dry","Low","Conspecific",1,"Fungi"
"68DLC2F",47,2.05921538227445,0.725187333333333,"Pot-68","Dry","Low","Conspecific",2,"Fungi"
"69DLC1F",63,2.233633424383,0.821457111111111,"Pot-69","Dry","Low","Conspecific",1,"Fungi"
"69DLC2F",48,1.61822464019515,0.623917111111111,"Pot-69","Dry","Low","Conspecific",2,"Fungi"
"6WLC1F",15,2.05040498081698,0.833330666666667,"Pot-6","Wet","Low","Conspecific",1,"Fungi"
"6WLC2F",29,1.10861251232837,0.479141333333334,"Pot-6","Wet","Low","Conspecific",2,"Fungi"
"70DLC1F",63,2.49825885134938,0.843045777777778,"Pot-70","Dry","Low","Conspecific",1,"Fungi"
"70DLC2F",49,2.58607660803636,0.861756222222222,"Pot-70","Dry","Low","Conspecific",2,"Fungi"
"7WLC1F",83,3.06743942279109,0.924480222222222,"Pot-7","Wet","Low","Conspecific",1,"Fungi"
"7WLC2F",79,2.93968395796686,0.918579333333333,"Pot-7","Wet","Low","Conspecific",2,"Fungi"
