"Response","Predictor","Df","F_value","P_value","Estimate","Std_error","t_value","Adj_R2","AIC","N","P_adj_BH"
"SRL","Bac_PCoA1",1,10.7266788103382,0.00179923378196712,109.090834464797,33.3085421931331,3.27516088312287,0.198730518157604,536.906140177247,66,0.150514066120385
"SRA","Bac_PCoA1",1,9.17645625778443,0.00368024345384856,544.422881217204,179.721018130777,3.02926662045196,0.308400020939263,759.404266076601,66,0.150514066120385
"SRL","Bac_PCoA2",1,8.73063741555385,0.00454234789790441,49.6693575024829,16.8099168832884,2.95476520480966,0.17439837842764,538.880532592055,66,0.150514066120385
"RD","Bac_PCoA2",1,7.97325614591632,0.0065287858225778,-0.068998514941209,0.0244355368725774,-2.82369547683817,0.184323894298643,-323.565990364179,66,0.150514066120385
"RD","Bac_PCoA1",1,7.91379168449353,0.00671937795180291,-0.138324480145089,0.0491707394748249,-2.81314622522427,0.183576691908175,-323.505558553715,66,0.150514066120385
"RB","Bac_Shannon",1,6.77092724835443,0.0117866692304874,-0.0417793234679369,0.0160559988897607,-2.60210054539682,0.23226932532999,-212.446481677604,66,0.189309302861169
"SRA","Bac_PCoA2",1,6.76327298789985,0.0118318314288231,236.732429245582,91.0289002693892,2.60062934458178,0.282225745047894,761.855993680267,66,0.189309302861169
"TB","Bac_Shannon",1,6.13220045026661,0.0162667045979723,-0.0513925814548965,0.0207535435902121,-2.47632801750225,0.220396326263122,-178.570732273572,66,0.227733864371613
"TBs","Bac_PCoA1",1,4.75106898523611,0.0334258228739397,0.410947238537957,0.188534311037571,2.17969470000643,0.552365332491951,-146.100028103889,66,0.415965795764583
