"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"346a23ff7da0c710b18e7544fa105dd2","Wet",0.508353204541662,0.012,0.038311345646438,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"a05a25c0ef8d6f77c9ddbb6a1239d0af","Dry",0.508064930524132,0.003,0.0135111662531017,"Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",""
"3486892784f14b335ad70bdd634b80e7","Wet",0.507817434326031,0.002,0.00977119784656797,"Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonadaceae"
"8cb1eba7beea5f7ec524fd428464f581","Dry",0.506118690227979,0.001,0.005671875,"Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured"
"845b14e829979ff704d904e9cdd5b89c","Wet",0.505223609865955,0.001,0.005671875,"Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","SH-PL14"
"96cd4be0451abfb888f4108fc29339ab","Dry",0.505052607377056,0.005,0.0201890989988877,"Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"411ac274d98356409238626e017387e7","Dry",0.504878164297401,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","","",""
"f8f87e00609d1597c2e0e7353c061b40","Dry",0.504878164297401,0.001,0.005671875,"Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","TM7a"
"9d0e4b8ec936b57fa59cedaf4798a87c","Dry",0.504549259708335,0.001,0.005671875,"Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Ohtaekwangia"
"7e88b81868016b80f50bbb676490387a","Wet",0.503969734960592,0.008,0.0278962536023055,"Firmicutes","Bacilli","Bacillales","Bacillaceae",""
"3f087718903102bad6e758d38a56e05e","Wet",0.503366148259361,0.005,0.0201890989988877,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncultured"
"cdc5e885a3e1220321effee0b60366f4","Wet",0.503154605426628,0.001,0.005671875,"Firmicutes","Clostridia","Clostridia","Gracilibacteraceae","Lutispora"
"9bbceca2e8d18f3aec56a00b448892b8","Wet",0.503154605426628,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",""
"e2b74722b9865d7b4c5a80829070ebdd","Wet",0.503154605426628,0.001,0.005671875,"Firmicutes","Bacilli","Bacillales","Bacillaceae",""
"bd13fda2485acf20f76a97c401aa431e","Wet",0.503154605426628,0.001,0.005671875,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","uncultured"
"9565364e2c542233a8ffa2ea11a0dc10","Wet",0.503154605426628,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","","",""
"5737c4307d6e77cf38caaf49e807f9fc","Wet",0.503154605426628,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Bauldia"
"0d4289f886f22b01a518de929da75c78","Wet",0.503154605426628,0.001,0.005671875,"Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",""
"37426270d9e5421e80d0c2b10ed320e1","Wet",0.503154605426628,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"a2163b3c453ceeefabe7fe5d2e31853b","Wet",0.503154605426628,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",""
"cb343afa325df1af89a63b4de5e6a0df","Wet",0.503154605426628,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","","",""
"3f22a08d083f76fcd9ea0d09cf22752d","Wet",0.503154605426628,0.001,0.005671875,"Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus"
"c88c28347aa14aff792c52a24a8ca92c","Wet",0.503154605426628,0.001,0.005671875,"Acidobacteriota","Vicinamibacteria","Vicinamibacterales","uncultured","uncultured"
"91c031aac7d7048563f3ce929d411493","Wet",0.503154605426628,0.001,0.005671875,"Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae",""
"47ec37d9016591dc179c6e5d1e7be870","Wet",0.503154605426628,0.002,0.00977119784656797,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter"
"6f1714dde81025ce61ab33c63b13b62d","Wet",0.503154605426628,0.002,0.00977119784656797,"Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae",""
"c18ab6e6433ee1dc2320583aab360349","Dry",0.502681147270437,0.001,0.005671875,"Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Fimbriiglobus"
"edd91af2060443b1bdd8867c0e3498a7","Wet",0.50263256761743,0.007,0.0255376884422111,"Chloroflexi","Anaerolineae","SBR1031","A4b","A4b"
"2255c92ea116e466260ecceb3bf6c2f7","Wet",0.499700680915114,0.007,0.0255376884422111,"Acidobacteriota","Subgroup_25","Subgroup_25","Subgroup_25","Subgroup_25"
"630cfd06cffe7032a87a75e09db7b795","Dry",0.499630434528331,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter"
