"SampleID","PCoA1","PCoA2","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Dataset"
"4WLC1F",0.161466806243441,-0.349450720197309,"Pot-4","Wet","Low","Conspecific",1,"Fungi","Fungi"
"4WLC2F",-0.106484017098875,-0.518473192707957,"Pot-4","Wet","Low","Conspecific",2,"Fungi","Fungi"
"51WHH1F",0.327293519264675,-0.181199605280783,"Pot-51","Wet","High","Heterospecific",1,"Fungi","Fungi"
"51WHH2F",0.227061826692286,-0.0104744915146518,"Pot-51","Wet","High","Heterospecific",2,"Fungi","Fungi"
"52WHH1F",0.349858407423525,0.127443142796253,"Pot-52","Wet","High","Heterospecific",1,"Fungi","Fungi"
"52WHH2F",0.220580082254804,-0.0443662645165141,"Pot-52","Wet","High","Heterospecific",2,"Fungi","Fungi"
"53WHH1F",0.16048217668243,0.0406260071999106,"Pot-53","Wet","High","Heterospecific",1,"Fungi","Fungi"
"53WHH2F",0.291843838011493,0.0804028208958089,"Pot-53","Wet","High","Heterospecific",2,"Fungi","Fungi"
"54WHH1F",0.274297513796971,-0.11150295575579,"Pot-54","Wet","High","Heterospecific",1,"Fungi","Fungi"
"54WHH2F",-0.0662708332491153,0.0267203942132181,"Pot-54","Wet","High","Heterospecific",2,"Fungi","Fungi"
"55WHH1F",0.35256099605078,0.168376093493909,"Pot-55","Wet","High","Heterospecific",1,"Fungi","Fungi"
"55WHH2F",0.236975132623762,-0.0124548476305844,"Pot-55","Wet","High","Heterospecific",2,"Fungi","Fungi"
"56WHH1F",0.202448662835205,-0.184743866242512,"Pot-56","Wet","High","Heterospecific",1,"Fungi","Fungi"
"56WHH2F",0.0841642532051415,-0.225223301901241,"Pot-56","Wet","High","Heterospecific",2,"Fungi","Fungi"
"57WHH1F",0.356541367259567,-0.215584839580724,"Pot-57","Wet","High","Heterospecific",1,"Fungi","Fungi"
"57WHH2F",-0.0271072422421019,0.206202433240213,"Pot-57","Wet","High","Heterospecific",2,"Fungi","Fungi"
"58WHH1F",0.329927386384165,0.166820852251526,"Pot-58","Wet","High","Heterospecific",1,"Fungi","Fungi"
"58WHH2F",0.0869815595744763,0.0559542955747724,"Pot-58","Wet","High","Heterospecific",2,"Fungi","Fungi"
"59WHH1F",0.124860596882776,0.118111466691933,"Pot-59","Wet","High","Heterospecific",1,"Fungi","Fungi"
"59WHH2F",0.000239888712970142,0.228291688245433,"Pot-59","Wet","High","Heterospecific",2,"Fungi","Fungi"
"5WLC1F",0.197089867295501,-0.26235126405734,"Pot-5","Wet","Low","Conspecific",1,"Fungi","Fungi"
"5WLC2F",-0.174037483547489,-0.511763137487537,"Pot-5","Wet","Low","Conspecific",2,"Fungi","Fungi"
"60WHH1F",0.287433539558509,0.238364983542011,"Pot-60","Wet","High","Heterospecific",1,"Fungi","Fungi"
"60WHH2F",0.232501791672718,0.245392310572338,"Pot-60","Wet","High","Heterospecific",2,"Fungi","Fungi"
"61DLC1F",-0.214943459806938,-0.0207281183119821,"Pot-61","Dry","Low","Conspecific",1,"Fungi","Fungi"
"61DLC2F",-0.426214668437825,-0.042813218609042,"Pot-61","Dry","Low","Conspecific",2,"Fungi","Fungi"
"62DLC1F",-0.214722470468353,0.191502939734823,"Pot-62","Dry","Low","Conspecific",1,"Fungi","Fungi"
"62DLC2F",-0.306252837022109,0.186287502553073,"Pot-62","Dry","Low","Conspecific",2,"Fungi","Fungi"
"63DLC1F",-0.252816867533414,-0.0866688752166386,"Pot-63","Dry","Low","Conspecific",1,"Fungi","Fungi"
"63DLC2F",-0.0987260052870187,-0.0376783233264253,"Pot-63","Dry","Low","Conspecific",2,"Fungi","Fungi"
"64DLC1F",-0.205337546554156,-0.0789860448824587,"Pot-64","Dry","Low","Conspecific",1,"Fungi","Fungi"
"64DLC2F",-0.122874184820466,0.0806665759702408,"Pot-64","Dry","Low","Conspecific",2,"Fungi","Fungi"
"65DLC1F",-0.0690654876494529,0.209186419101015,"Pot-65","Dry","Low","Conspecific",1,"Fungi","Fungi"
"65DLC2F",-0.362295296014429,-0.177000690583591,"Pot-65","Dry","Low","Conspecific",2,"Fungi","Fungi"
"66DLC1F",-0.347050656527368,0.130177957227877,"Pot-66","Dry","Low","Conspecific",1,"Fungi","Fungi"
"66DLC2F",-0.382129541255757,-0.0116436422926224,"Pot-66","Dry","Low","Conspecific",2,"Fungi","Fungi"
"67DLC1F",-0.359021508515865,0.0773383743580493,"Pot-67","Dry","Low","Conspecific",1,"Fungi","Fungi"
"67DLC2F",-0.215568064654293,0.214404925041847,"Pot-67","Dry","Low","Conspecific",2,"Fungi","Fungi"
"68DLC1F",-0.408404177061583,-0.0937006430059069,"Pot-68","Dry","Low","Conspecific",1,"Fungi","Fungi"
"68DLC2F",-0.414206297946142,-0.111678888270031,"Pot-68","Dry","Low","Conspecific",2,"Fungi","Fungi"
"69DLC1F",-0.398430404156483,-0.0913514558496368,"Pot-69","Dry","Low","Conspecific",1,"Fungi","Fungi"
"69DLC2F",-0.340312682913867,0.000387694285071089,"Pot-69","Dry","Low","Conspecific",2,"Fungi","Fungi"
"6WLC1F",0.148483776427583,-0.204573512663572,"Pot-6","Wet","Low","Conspecific",1,"Fungi","Fungi"
"6WLC2F",0.251417163115578,0.257678350969881,"Pot-6","Wet","Low","Conspecific",2,"Fungi","Fungi"
"70DLC1F",-0.452500217144305,-0.0252548730560933,"Pot-70","Dry","Low","Conspecific",1,"Fungi","Fungi"
"70DLC2F",-0.337673412213969,-0.107176143344266,"Pot-70","Dry","Low","Conspecific",2,"Fungi","Fungi"
"7WLC1F",0.0326675394312134,-0.0116279868760416,"Pot-7","Wet","Low","Conspecific",1,"Fungi","Fungi"
"7WLC2F",0.00162076836639688,0.124051749439067,"Pot-7","Wet","Low","Conspecific",2,"Fungi","Fungi"
"81DLH1F",-0.0789443724690975,0.0510000151839009,"Pot-81","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"81DLH2F",-0.344114678869122,-0.126097321515383,"Pot-81","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"82DLH1F",-0.467411971803681,0.0235689279175309,"Pot-82","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"82DLH2F",-0.444494383305694,-0.00236424030997333,"Pot-82","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"83DLH1F",-0.353833472621097,-0.121348413442086,"Pot-83","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"83DLH2F",-0.361722583254553,-0.19608956323698,"Pot-83","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"84DLH1F",-0.337403865260262,0.00138327210783019,"Pot-84","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"84DLH2F",-0.277355569335306,0.0345083281072786,"Pot-84","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"85DLH1F",-0.234505594361333,0.109090885942941,"Pot-85","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"85DLH2F",-0.279811244593392,0.163451970255302,"Pot-85","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"86DLH1F",-0.125071552500814,-0.110654696095162,"Pot-86","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"86DLH2F",-0.290671721061234,0.168897945149234,"Pot-86","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"87DLH1F",-0.162472991293739,-0.0482928230837408,"Pot-87","Dry","Low","Heterospecific",1,"Fungi","Fungi"
"87DLH2F",-0.375484625756561,-0.0472646079899256,"Pot-87","Dry","Low","Heterospecific",2,"Fungi","Fungi"
"88DLH1F",-0.161293217523473,0.155815625592963,"Pot-88","Dry","Low","Heterospecific",1,"Fungi","Fungi"
