"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Domain","Phylum"
"affc2ac2edb78f316243b0e74a694d53","65DLC1B",0.481545832675196,"Pot-65","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","90DLH1B",0.47914490374571,"Pot-90","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","62DLC2B",0.475315786825021,"Pot-62","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","65DLC2B",0.472519365547768,"Pot-65","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","4WLC2B",0.471245791245791,"Pot-4","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","98DHC2B",0.468187940733698,"Pot-98","Dry","High","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","83DLH1B",0.465847793591993,"Pot-83","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","114DHH1B",0.46173575488701,"Pot-114","Dry","High","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","82DLH1B",0.457669519420671,"Pot-82","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","70DLC2B",0.453668826276932,"Pot-70","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","70DLC1B",0.453628536285363,"Pot-70","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","6WLC2B",0.450299680859345,"Pot-6","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","21WLH2B",0.448145344436033,"Pot-21","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","97DHC2B",0.446946658995644,"Pot-97","Dry","High","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"fccd5b7afe391870624505cf6472e0b1","33WHC1B",0.446796657381616,"Pot-33","Wet","High","Conspecific",1,"Bacteria","Bacteria","Firmicutes"
"de3f213528b5012f1ab578bd95bd8b33","1WLC2B",0.44198086662915,"Pot-1","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","21WLH1B",0.43396361041741,"Pot-21","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","53WHH1B",0.433687340696687,"Pot-53","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","5WLC2B",0.428764652840397,"Pot-5","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","68DLC2B",0.428385416666667,"Pot-68","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","83DLH2B",0.420147619433855,"Pot-83","Dry","Low","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","61DLC1B",0.419755214618169,"Pot-61","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","25WLH1B",0.418049663089593,"Pot-25","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","23WLH1B",0.415338992906152,"Pot-23","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","62DLC1B",0.414906943450251,"Pot-62","Dry","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","4WLC1B",0.413443699157985,"Pot-4","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","36WHC1B",0.412506477802729,"Pot-36","Wet","High","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","24WLH1B",0.41143521909604,"Pot-24","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","3WLC1B",0.410886272983753,"Pot-3","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","86DLH1B",0.410741711085012,"Pot-86","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","31WHC1B",0.410597061581744,"Pot-31","Wet","High","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","22WLH2B",0.409373729793953,"Pot-22","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","86DLH2B",0.408260325406758,"Pot-86","Dry","Low","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","34WHC2B",0.398679217746643,"Pot-34","Wet","High","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","63DLC2B",0.395792177005136,"Pot-63","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","26WLH2B",0.395698826952805,"Pot-26","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","84DLH1B",0.389630574263739,"Pot-84","Dry","Low","Heterospecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","23WLH2B",0.386131013306039,"Pot-23","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"fccd5b7afe391870624505cf6472e0b1","58WHH2B",0.385505535055351,"Pot-58","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Firmicutes"
"affc2ac2edb78f316243b0e74a694d53","114DHH2B",0.383641428209673,"Pot-114","Dry","High","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"affc2ac2edb78f316243b0e74a694d53","1WLC1B",0.380553026309484,"Pot-1","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"fccd5b7afe391870624505cf6472e0b1","37WHC2B",0.380260662550942,"Pot-37","Wet","High","Conspecific",2,"Bacteria","Bacteria","Firmicutes"
"de3f213528b5012f1ab578bd95bd8b33","54WHH1B",0.379190429823341,"Pot-54","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","38WHC1B",0.377873213948086,"Pot-38","Wet","High","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","8WLC1B",0.377469931271478,"Pot-8","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","87DLH2B",0.375393627094757,"Pot-87","Dry","Low","Heterospecific",2,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","8WLC2B",0.375162267416703,"Pot-8","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","5WLC1B",0.374273439474349,"Pot-5","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","7WLC2B",0.370713434360633,"Pot-7","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","60WHH1B",0.369961882147097,"Pot-60","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","26WLH1B",0.369815668202765,"Pot-26","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","30WLH2B",0.360496935201401,"Pot-30","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"affc2ac2edb78f316243b0e74a694d53","5WLC1B",0.359615870609047,"Pot-5","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Actinobacteriota"
"de3f213528b5012f1ab578bd95bd8b33","62DLC2B",0.356247798299029,"Pot-62","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","59WHH1B",0.346091885441527,"Pot-59","Wet","High","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","6WLC1B",0.344556754541729,"Pot-6","Wet","Low","Conspecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","63DLC2B",0.341169498222047,"Pot-63","Dry","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","24WLH2B",0.340720159031354,"Pot-24","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","3WLC2B",0.339023091768151,"Pot-3","Wet","Low","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","56WHH2B",0.338492479888073,"Pot-56","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","55WHH2B",0.337479116391312,"Pot-55","Wet","High","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","30WLH1B",0.337377560106857,"Pot-30","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","28WLH1B",0.336463862801143,"Pot-28","Wet","Low","Heterospecific",1,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","29WLH2B",0.333333333333333,"Pot-29","Wet","Low","Heterospecific",2,"Bacteria","Bacteria","Proteobacteria"
"de3f213528b5012f1ab578bd95bd8b33","40WHC2B",0.332309766327142,"Pot-40","Wet","High","Conspecific",2,"Bacteria","Bacteria","Proteobacteria"
