"SampleID","Multi-trophic","Pathotroph","Saprotroph","Symbiotroph","Unassigned","Pot","Intensity","Frequency","Composition","Replicate","Microbes"
"54WHH2F",4540,17,413,3241,5820,"Pot-54","Wet","High","Heterospecific",2,"Fungi"
"55WHH1F",1093,39,3409,119,4440,"Pot-55","Wet","High","Heterospecific",1,"Fungi"
"55WHH2F",4010,0,10572,124,3292,"Pot-55","Wet","High","Heterospecific",2,"Fungi"
"56WHH1F",797,29,565,0,1595,"Pot-56","Wet","High","Heterospecific",1,"Fungi"
"56WHH2F",150,58,3645,3,1436,"Pot-56","Wet","High","Heterospecific",2,"Fungi"
"57WHH1F",1993,296,2048,63,4655,"Pot-57","Wet","High","Heterospecific",1,"Fungi"
"57WHH2F",2470,18,1364,46,1923,"Pot-57","Wet","High","Heterospecific",2,"Fungi"
"58WHH1F",2351,437,3948,453,5504,"Pot-58","Wet","High","Heterospecific",1,"Fungi"
"58WHH2F",450,15,10122,4613,1262,"Pot-58","Wet","High","Heterospecific",2,"Fungi"
"59WHH1F",920,1009,1058,7,3956,"Pot-59","Wet","High","Heterospecific",1,"Fungi"
"59WHH2F",188,6,7085,45,1342,"Pot-59","Wet","High","Heterospecific",2,"Fungi"
"5WLC1F",16855,850,8706,28,12488,"Pot-5","Wet","Low","Conspecific",1,"Fungi"
"5WLC2F",4418,0,3258,14833,17700,"Pot-5","Wet","Low","Conspecific",2,"Fungi"
"60WHH1F",2647,92,1543,49,18122,"Pot-60","Wet","High","Heterospecific",1,"Fungi"
"60WHH2F",1386,26,2098,547,14650,"Pot-60","Wet","High","Heterospecific",2,"Fungi"
"61DLC1F",7656,30,9362,3891,7607,"Pot-61","Dry","Low","Conspecific",1,"Fungi"
"61DLC2F",13007,4,18227,14525,4830,"Pot-61","Dry","Low","Conspecific",2,"Fungi"
"62DLC1F",13480,226,13565,43,2240,"Pot-62","Dry","Low","Conspecific",1,"Fungi"
"62DLC2F",28311,9,7992,64,3237,"Pot-62","Dry","Low","Conspecific",2,"Fungi"
"63DLC1F",5179,13,29096,5071,1723,"Pot-63","Dry","Low","Conspecific",1,"Fungi"
"63DLC2F",9110,7,46086,1357,3614,"Pot-63","Dry","Low","Conspecific",2,"Fungi"
"64DLC1F",2574,54,1783,6586,4998,"Pot-64","Dry","Low","Conspecific",1,"Fungi"
"64DLC2F",10286,22,7625,1894,2543,"Pot-64","Dry","Low","Conspecific",2,"Fungi"
"65DLC1F",2654,1683,22146,355,12521,"Pot-65","Dry","Low","Conspecific",1,"Fungi"
"65DLC2F",6144,577,12904,16346,771,"Pot-65","Dry","Low","Conspecific",2,"Fungi"
"66DLC1F",6097,71,6841,2420,5385,"Pot-66","Dry","Low","Conspecific",1,"Fungi"
"66DLC2F",12812,292,1366,4802,3503,"Pot-66","Dry","Low","Conspecific",2,"Fungi"
"67DLC1F",15337,39,6689,4600,11716,"Pot-67","Dry","Low","Conspecific",1,"Fungi"
"67DLC2F",3587,87,9905,1198,5962,"Pot-67","Dry","Low","Conspecific",2,"Fungi"
"68DLC1F",2334,16,5357,3449,3393,"Pot-68","Dry","Low","Conspecific",1,"Fungi"
"68DLC2F",4711,35,3016,10538,3959,"Pot-68","Dry","Low","Conspecific",2,"Fungi"
"69DLC1F",11504,1068,20175,16735,6472,"Pot-69","Dry","Low","Conspecific",1,"Fungi"
"69DLC2F",2227,8,15304,2573,1990,"Pot-69","Dry","Low","Conspecific",2,"Fungi"
"6WLC1F",871,0,3784,3199,6990,"Pot-6","Wet","Low","Conspecific",1,"Fungi"
"6WLC2F",678,197,734,98,14822,"Pot-6","Wet","Low","Conspecific",2,"Fungi"
"70DLC1F",2519,28,5337,4903,2931,"Pot-70","Dry","Low","Conspecific",1,"Fungi"
"70DLC2F",1489,7,5797,5056,3207,"Pot-70","Dry","Low","Conspecific",2,"Fungi"
"7WLC1F",13920,4479,5287,158,33756,"Pot-7","Wet","Low","Conspecific",1,"Fungi"
"7WLC2F",11894,2038,10175,73,16478,"Pot-7","Wet","Low","Conspecific",2,"Fungi"
"81DLH1F",1123,465,4073,3757,6474,"Pot-81","Dry","Low","Heterospecific",1,"Fungi"
"81DLH2F",1627,65,5816,5986,3427,"Pot-81","Dry","Low","Heterospecific",2,"Fungi"
"82DLH1F",7333,598,16865,8344,1711,"Pot-82","Dry","Low","Heterospecific",1,"Fungi"
"82DLH2F",2794,7,3716,3086,1937,"Pot-82","Dry","Low","Heterospecific",2,"Fungi"
"83DLH1F",1210,57,5314,2015,1695,"Pot-83","Dry","Low","Heterospecific",1,"Fungi"
"83DLH2F",810,13,386,2339,511,"Pot-83","Dry","Low","Heterospecific",2,"Fungi"
"84DLH1F",1731,9,1437,1603,3388,"Pot-84","Dry","Low","Heterospecific",1,"Fungi"
"84DLH2F",977,2,3513,46,1860,"Pot-84","Dry","Low","Heterospecific",2,"Fungi"
"85DLH1F",3485,4,3981,1478,16612,"Pot-85","Dry","Low","Heterospecific",1,"Fungi"
"85DLH2F",4814,10,7590,1060,6156,"Pot-85","Dry","Low","Heterospecific",2,"Fungi"
"86DLH1F",1029,34,2764,4543,3696,"Pot-86","Dry","Low","Heterospecific",1,"Fungi"
"86DLH2F",7576,88,9889,410,2988,"Pot-86","Dry","Low","Heterospecific",2,"Fungi"
"87DLH1F",3588,99,22111,3399,3723,"Pot-87","Dry","Low","Heterospecific",1,"Fungi"
"87DLH2F",5262,98,13473,6805,4690,"Pot-87","Dry","Low","Heterospecific",2,"Fungi"
"88DLH1F",6321,42,973,938,7874,"Pot-88","Dry","Low","Heterospecific",1,"Fungi"
"88DLH2F",5535,28,2649,1727,12423,"Pot-88","Dry","Low","Heterospecific",2,"Fungi"
"89DLH1F",13173,9,8903,2176,6698,"Pot-89","Dry","Low","Heterospecific",1,"Fungi"
"89DLH2F",11691,300,10222,6292,11132,"Pot-89","Dry","Low","Heterospecific",2,"Fungi"
"8WLC1F",2512,15,6728,15,21243,"Pot-8","Wet","Low","Conspecific",1,"Fungi"
"8WLC2F",765,0,21912,40,4439,"Pot-8","Wet","Low","Conspecific",2,"Fungi"
"90DLH1F",12354,15,6670,188,4613,"Pot-90","Dry","Low","Heterospecific",1,"Fungi"
"90DLH2F",11478,0,10910,2480,5206,"Pot-90","Dry","Low","Heterospecific",2,"Fungi"
"96DHC1F",5653,0,5714,3315,5241,"Pot-96","Dry","High","Conspecific",1,"Fungi"
"96DHC2F",2003,0,7781,705,1067,"Pot-96","Dry","High","Conspecific",2,"Fungi"
"97DHC1F",3280,9,2225,922,3047,"Pot-97","Dry","High","Conspecific",1,"Fungi"
"97DHC2F",5615,28,4517,394,1707,"Pot-97","Dry","High","Conspecific",2,"Fungi"
"98DHC1F",3611,12,2630,2509,7187,"Pot-98","Dry","High","Conspecific",1,"Fungi"
"98DHC2F",1325,8,1868,2030,1082,"Pot-98","Dry","High","Conspecific",2,"Fungi"
"9WLC1F",1218,413,1146,126,2995,"Pot-9","Wet","Low","Conspecific",1,"Fungi"
"9WLC2F",697,522,429,71,1380,"Pot-9","Wet","Low","Conspecific",2,"Fungi"
