ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ef46ec73099347722cf91ff1bee30049,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella_sp
cd3620da2110e5d964907734ce6f9e5e,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,,
c77d168d454c013c802a4ada5ebe5d79,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,Pyrenochaeta_sp
8b2aa9ea4055195a327daa90f1c07c5f,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
a92bcb622bb266d15498da179ff4c743,Fungi,Ascomycota,Dothideomycetes,,,,
5973b73885a45ec80b9c9714b4435431,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Harposporium,
82118b570006060cacb06b33a0751781,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,
8ce08f5a63c413f35a5b3759cf6f2992,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neosetophoma,Neosetophoma_buxi
9f557d40df35f0c0978091b17fcdc777,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Spermospora,Spermospora_zeae
7eae6ed747bedc6a47572a190aa5770f,Fungi,Ascomycota,,,,,
1cbd4a8a7e037e6ea3baacc10ac6e08e,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_chernovii
2a19ee960c01e8eb74e7670853109519,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Lentitheciaceae_gen_Incertae_sedis,Lentitheciaceae_sp
354e5fc49cc596c5273cf06ab393994c,Fungi,Basidiomycota,Agaricomycetes,,,,
e3ba9a52c9e63ed40148a3757005031e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Hemimycena,Hemimycena_subimmaculata
1f13d9ba378e414ce2708e7cab16dd53,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,Serendipita_sp
aa52e53101323b1d05f8c4c6834dd1e2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,
ae93ea83ac38a66335d56cee3b7ac634,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis_mosseae
db54a1e37e9d413560690921568662ba,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Calyptella,Calyptella_sp
05103bd02bf280ace3334412ea9d5e45,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Achroiostachys,
211ab004af877395e2d7d1048dd4fa67,Fungi,Ascomycota,Sordariomycetes,Savoryellales,Savoryellaceae,Savoryella,Savoryella_sp
b7e7581148b58c10a03bf40ebda79641,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
29a8dbf33dd842382f811771519c2e71,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,Linnemannia_nimbosa
6a0e3aee96bfc2772cd53575935a9820,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,
2b03aae15f42b53ba1384634d08cb6cb,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Biappendiculispora,Biappendiculispora_sp
dd53217d6ff6f4c5eef8dd17874c8999,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora_sp
