ASV_ID,10WLC1F,10WLC2F,114DHH1F,114DHH2F,117DHH1F,117DHH2F,119DHH1F,119DHH2F,1WLC1F,1WLC2F,21WLH1F,21WLH2F,22WLH1F,22WLH2F,23WLH1F,23WLH2F,24WLH1F,24WLH2F,25WLH1F,25WLH2F,26WLH1F,26WLH2F,27WLH1F,28WLH1F,28WLH2F,29WLH1F,29WLH2F,2WLC1F,2WLC2F,30WLH1F,30WLH2F,31WHC1F,31WHC2F,32WHC1F,32WHC2F,33WHC1F,33WHC2F,34WHC1F,34WHC2F,35WHC1F,35WHC2F,36WHC1F,36WHC2F,37WHC1F,37WHC2F,38WHC1F,38WHC2F,39WHC1F,39WHC2F,3WLC1F,3WLC2F,40WHC1F,40WHC2F,4WLC1F,4WLC2F,51WHH1F,51WHH2F,52WHH1F,52WHH2F,53WHH1F,53WHH2F,54WHH1F,54WHH2F,55WHH1F,55WHH2F,56WHH1F,56WHH2F,57WHH1F,57WHH2F,58WHH1F,58WHH2F,59WHH1F,59WHH2F,5WLC1F,5WLC2F,60WHH1F,60WHH2F,61DLC1F,61DLC2F,62DLC1F,62DLC2F,63DLC1F,63DLC2F,64DLC1F,64DLC2F,65DLC1F,65DLC2F,66DLC1F,66DLC2F,67DLC1F,67DLC2F,68DLC1F,68DLC2F,69DLC1F,69DLC2F,6WLC1F,6WLC2F,70DLC1F,70DLC2F,7WLC1F,7WLC2F,81DLH1F,81DLH2F,82DLH1F,82DLH2F,83DLH1F,83DLH2F,84DLH1F,84DLH2F,85DLH1F,85DLH2F,86DLH1F,86DLH2F,87DLH1F,87DLH2F,88DLH1F,88DLH2F,89DLH1F,89DLH2F,8WLC1F,8WLC2F,90DLH1F,90DLH2F,96DHC1F,96DHC2F,97DHC1F,97DHC2F,98DHC1F,98DHC2F,9WLC1F,9WLC2F
d2a116fbbccd28eebf905857abcedd2e,0,0,0,0,0,17,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,19,0,293,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
897458c8a9232fe02aac9ed939711c37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89162567a5d2b62d3273c4431a503e81,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,87,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879d8e13a34e0df07cba7cb97d591253,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,176,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,10,0,0,0,0,0,0,0,0,0,0
9da82406b70fa33268e9a982cbd0130b,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
da0c6c66535364430c9fafb61fac3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ff39fcdfc257ddf2dc0bdd3275ed26aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237d9bcb27a447af05a32b1b1f0215b6,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb1fbd15fe27212f6726f4ef76568bf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5974357b2174ce0cbfdf66541e89ba75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
