SampleID,Pot,Intensity,Frequency,Composition,Replicate,Microbes
30WLH2F,Pot-30,Wet,Low,Heterospecific,2,Fungi
31WHC2F,Pot-31,Wet,High,Conspecific,2,Fungi
32WHC2F,Pot-32,Wet,High,Conspecific,2,Fungi
33WHC2F,Pot-33,Wet,High,Conspecific,2,Fungi
34WHC2F,Pot-34,Wet,High,Conspecific,2,Fungi
35WHC2F,Pot-35,Wet,High,Conspecific,2,Fungi
36WHC2F,Pot-36,Wet,High,Conspecific,2,Fungi
37WHC2F,Pot-37,Wet,High,Conspecific,2,Fungi
38WHC2F,Pot-38,Wet,High,Conspecific,2,Fungi
39WHC2F,Pot-39,Wet,High,Conspecific,2,Fungi
40WHC2F,Pot-40,Wet,High,Conspecific,2,Fungi
51WHH2F,Pot-51,Wet,High,Heterospecific,2,Fungi
52WHH2F,Pot-52,Wet,High,Heterospecific,2,Fungi
53WHH2F,Pot-53,Wet,High,Heterospecific,2,Fungi
54WHH2F,Pot-54,Wet,High,Heterospecific,2,Fungi
55WHH2F,Pot-55,Wet,High,Heterospecific,2,Fungi
56WHH2F,Pot-56,Wet,High,Heterospecific,2,Fungi
57WHH2F,Pot-57,Wet,High,Heterospecific,2,Fungi
58WHH2F,Pot-58,Wet,High,Heterospecific,2,Fungi
59WHH2F,Pot-59,Wet,High,Heterospecific,2,Fungi
60WHH2F,Pot-60,Wet,High,Heterospecific,2,Fungi
61DLC2F,Pot-61,Dry,Low,Conspecific,2,Fungi
62DLC2F,Pot-62,Dry,Low,Conspecific,2,Fungi
63DLC2F,Pot-63,Dry,Low,Conspecific,2,Fungi
64DLC2F,Pot-64,Dry,Low,Conspecific,2,Fungi
65DLC2F,Pot-65,Dry,Low,Conspecific,2,Fungi
66DLC2F,Pot-66,Dry,Low,Conspecific,2,Fungi
67DLC2F,Pot-67,Dry,Low,Conspecific,2,Fungi
68DLC2F,Pot-68,Dry,Low,Conspecific,2,Fungi
69DLC2F,Pot-69,Dry,Low,Conspecific,2,Fungi
